Incident_ID,Date_Time,State,City,Location,Crime_Type,Description
CR-1000,2025-05-02 22:52,Uttarakhand,Roorkee,"Roorkee, Uttarakhand",Cybercrime,"Phishing scam targeting residents of Roorkee, Uttarakhand"
CR-1001,2026-04-16 02:18,Jammu and Kashmir,Jammu,"Jammu, Jammu and Kashmir",Burglary,"Break-in at a residential house in Jammu, Jammu and Kashmir"
CR-1002,2025-10-08 07:37,Punjab,Ludhiana,"Ludhiana, Punjab",Drug Trafficking,"Suspicious individuals caught with narcotics near Ludhiana, Punjab border"
CR-1003,2026-01-25 17:45,Haryana,Gurugram,"Gurugram, Haryana",Cybercrime,"Online bank fraud reported from Gurugram, Haryana"
CR-1004,2025-07-25 13:03,Punjab,Jalandhar,"Jalandhar, Punjab",Vandalism,"Graffiti and window smashing at Jalandhar, Punjab shop"
CR-1005,2026-01-05 00:13,Uttar Pradesh,Varanasi,"Varanasi, Uttar Pradesh",Vandalism,"Graffiti and window smashing at Varanasi, Uttar Pradesh shop"
CR-1006,2025-08-27 21:07,Uttarakhand,Nainital,"Nainital, Uttarakhand",Assault,"Street fight resulting in minor injuries at Nainital, Uttarakhand"
CR-1007,2025-09-19 09:06,Uttarakhand,Nainital,"Nainital, Uttarakhand",Fraud,"Real estate fraud reported in Nainital, Uttarakhand"
CR-1008,2026-03-13 01:04,Punjab,Amritsar,"Amritsar, Punjab",Drug Trafficking,"Suspicious individuals caught with narcotics near Amritsar, Punjab border"
CR-1009,2026-01-09 04:15,Jammu and Kashmir,Baramulla,"Baramulla, Jammu and Kashmir",Drug Trafficking,"Suspicious individuals caught with narcotics near Baramulla, Jammu and Kashmir border"
CR-1010,2025-05-27 16:05,Haryana,Gurugram,"Gurugram, Haryana",Theft,"Pickpocketing incident reported at Gurugram, Haryana market"
CR-1011,2025-10-30 11:33,Punjab,Patiala,"Patiala, Punjab",Fraud,"Counterfeit currency circulated in Patiala, Punjab market"
CR-1012,2026-04-14 04:28,Himachal Pradesh,Dharamshala,"Dharamshala, Himachal Pradesh",Burglary,"Shop burgled late night in Dharamshala, Himachal Pradesh"
CR-1013,2026-04-21 20:42,Uttarakhand,Dehradun,"Dehradun, Uttarakhand",Theft,"Stolen wallet from Dehradun, Uttarakhand"
CR-1014,2025-05-14 21:26,Jammu and Kashmir,Baramulla,"Baramulla, Jammu and Kashmir",Drug Trafficking,"Suspicious individuals caught with narcotics near Baramulla, Jammu and Kashmir border"
CR-1015,2025-09-07 08:04,Haryana,Faridabad,"Faridabad, Haryana",Cybercrime,"Identity theft incident logged from Faridabad, Haryana"
CR-1016,2026-01-17 15:08,Jammu and Kashmir,Baramulla,"Baramulla, Jammu and Kashmir",Cybercrime,"Online bank fraud reported from Baramulla, Jammu and Kashmir"
CR-1017,2025-05-08 23:07,Uttar Pradesh,Kanpur,"Kanpur, Uttar Pradesh",Assault,"Assault incident in Kanpur, Uttar Pradesh park"
